# 20191023-155404-t,V1,V2,V3,I
384.532298088,2.98915,3.193902,3.194284,0.0
385.534871101,2.989532,3.19352,3.194284,0.0
386.537891626,2.989532,3.193902,3.194284,0.0
387.540688515,2.98915,3.19352,3.194284,0.0
388.543384314,2.98915,3.193902,3.194284,0.0
389.546007395,2.989532,3.19352,3.194284,0.0
390.548991919,2.98915,3.19352,3.194284,0.0
391.551357985,2.98915,3.19352,3.194284,0.0
392.554408073,2.98915,3.19352,3.194284,0.0
393.556780577,2.98915,3.193138,3.194284,0.0
394.55978775,2.988768,3.19352,3.194284,0.0
395.562452316,2.98915,3.19352,3.194284,0.0
396.565189838,2.98915,3.19352,3.194284,0.0
397.567511797,2.989532,3.19352,3.194284,0.0
398.570510864,2.98915,3.19352,3.194284,0.0
399.573218584,2.98915,3.19352,3.194284,0.0
400.575638294,2.98915,3.19352,3.194284,0.0
401.578591585,2.989532,3.193902,3.194284,0.0
402.581287146,2.98915,3.193902,3.194284,0.0
403.583976984,2.98915,3.19352,3.194284,0.0
404.587087154,2.98915,3.19352,3.194284,0.0
405.58972764,2.98915,3.193902,3.194284,0.0
406.592280626,2.98915,3.19352,3.194284,0.0
407.595140219,2.988768,3.19352,3.194284,0.0
408.597823858,2.98915,3.19352,3.194284,0.0
409.712860823,2.98915,3.193902,3.194284,0.0
410.603833675,2.574298,2.576972,2.666742,0.0
411.606425047,2.593016,2.583848,2.662158,0.0
412.609200239,2.610206,2.602948,2.657192,0.0
413.611900091,2.610206,2.602948,2.65299,0.0
414.61452651,2.604858,2.613262,2.657192,0.0
415.616939306,2.598364,2.622048,2.663304,0.0
416.619971037,2.588432,2.624722,2.66636,0.0
417.622285366,2.56895,2.634654,2.665978,0.0
418.625328064,2.552142,2.637328,2.662922,0.0
419.627712488,2.604094,2.619374,2.661394,0.0
420.630773544,2.594544,2.63007,2.662922,0.0
421.63337326,2.592252,2.62816,2.668652,0.0
422.636053085,2.592252,2.603712,2.671326,0.0
423.638435602,2.592634,2.578882,2.671326,0.0
424.641461849,2.617082,2.587668,2.66827,0.0
425.644107342,2.610206,2.602566,2.669416,0.0
426.646920919,2.627778,2.596454,2.67018,0.0
427.64903307,2.621284,2.584994,2.669798,0.0
428.652225018,2.612498,2.602948,2.669416,0.0
429.654570103,2.610206,2.602566,2.67018,0.0
430.657576799,2.606386,2.614026,2.667506,0.0
431.659811735,2.601038,2.604858,2.668652,0.0
432.663111448,2.60142,2.604476,2.672854,0.0
433.665625095,2.597218,2.600656,2.672472,0.0
434.667953491,2.594544,2.644204,2.67018,0.0
435.671491146,2.590724,2.638474,2.675146,0.0
436.67402792,2.588432,2.632744,2.671326,0.0
437.676059008,2.588432,2.631598,2.676292,0.0
438.679099798,2.58996,2.631216,2.678202,0.0
439.681632042,2.58996,2.630452,2.678966,0.0
440.684757233,2.588432,2.625486,2.673618,0.0
441.686930418,2.583848,2.615554,2.67209,0.0
442.690150023,2.586904,2.58423,2.678966,0.0
443.692560196,2.585758,2.591488,2.686988,0.0
444.695244551,2.5785,2.58614,2.690044,0.0
445.697737932,2.576972,2.5976,2.690044,0.0
446.700588465,2.57659,2.587668,2.690044,0.0
447.703209162,2.580028,2.584994,2.690044,0.0
448.706263304,2.581938,2.592252,2.690044,0.0
449.708811522,2.576972,2.588432,2.690808,0.0
450.711680889,2.571624,2.603712,2.693864,0.0
451.714360237,2.57468,2.60333,2.692336,0.0
452.716664076,2.573916,2.5976,2.690426,0.0
453.719367266,2.565512,2.614408,2.690044,0.0
454.722378731,2.56513,2.602566,2.690044,0.0
455.725098848,2.550614,2.58996,2.690044,0.0
456.727088928,2.555962,2.60333,2.690044,0.0
457.730149269,2.556344,2.60715,2.690044,0.0
458.732396126,2.562074,2.605622,2.690044,0.0
459.735761642,2.557872,2.603712,2.690044,0.0
460.738493681,2.55367,2.60333,2.690044,0.0
461.740847588,2.560928,2.602566,2.690044,0.0
462.7438941,2.556726,2.599128,2.690044,0.0
463.746223688,2.547176,2.603712,2.695392,0.0
464.749254942,2.54794,2.60333,2.709144,0.0
465.751932383,2.54985,2.603712,2.712582,0.0
466.754705191,2.54221,2.594926,2.712964,0.0
467.757305145,2.54794,2.585376,2.7122,0.0
468.760010004,2.545648,2.585376,2.712964,0.0
469.762391806,2.528076,2.604094,2.712964,0.0
470.765484095,2.520436,2.594926,2.71411,0.0
471.767744064,2.531514,2.581938,2.711436,0.0
472.770851135,2.51547,2.585758,2.704178,0.0
473.773830414,2.51929,2.576972,2.701886,0.0
474.776395321,2.509358,2.592634,2.700358,0.0
475.779251814,2.514706,2.575444,2.69883,0.0
